,ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509
0,Afghanistan,6.0,0.0,,25.87,0,0,0,0,0,0,-1.55091002130689
1,Albania,3.0,9.0,33.0,7.14,0,0,0,0,1,0,-0.580512657366048
2,Algeria,5.5,2.0,35.3,6.48,1,0,0,0,0,0,-0.434653889660585
3,American Samoa,,,,,0,0,0,0,0,0,0.442990611117933
4,Andorra,1.0,,,25.0,0,0,0,0,0,0,1.30776669040672
5,Angola,5.5,-2.0,58.6,37.27,0,0,0,0,0,0,-1.29268423917956
6,Antigua and Barbuda,2.5,,,16.67,0,0,1,0,0,0,1.20821391940379
7,Argentina,2.0,8.0,48.8,39.76,0,1,0,0,0,0,-0.420792604806339
8,Armenia,5.0,5.0,30.2,8.4,0,0,0,0,0,0,-0.578210931915514
9,Aruba,,,,,0,0,1,0,0,0,1.25515564605686
10,Australia,1.0,10.0,35.2,29.65,0,0,0,0,0,0,1.97929304224882
11,Austria,1.0,10.0,29.1,26.64,0,0,0,0,0,0,1.90384092809486
12,Azerbaijan,5.5,-7.0,16.8,11.38,0,0,0,0,0,0,-1.02676724117019
13,"Bahamas, The",1.0,,,25.0,0,0,1,0,0,0,1.36312197975176
14,Bahrain,5.5,-7.0,,13.75,1,0,0,0,0,0,0.368444796447932
15,Bangladesh,3.5,5.0,31.0,6.33,0,0,0,0,0,0,-1.21859465429665
16,Barbados,1.0,,,13.73,0,0,1,0,0,0,1.3138115224847
17,Belarus,6.5,-7.0,28.8,32.53,0,0,0,0,0,0,-0.76558628966688
18,Belgium,1.0,8.0,33.0,36.2,0,0,0,0,0,0,1.32983978910366
19,Belize,1.5,,59.6,11.11,0,0,1,0,0,0,-0.273784619774411
20,Benin,2.0,7.0,38.6,10.84,0,0,0,0,0,1,-0.60802770097789
21,Bermuda,,,,,0,0,1,0,0,0,1.30776669040672
22,Bhutan,4.5,3.0,,13.89,0,0,0,0,0,0,0.754890153162117
23,Bolivia,3.0,7.0,57.2,14.65,0,1,0,0,0,0,-0.585376005238764
24,Bosnia and Herzegovina,3.5,0.0,36.3,12.28,0,0,0,0,1,0,-0.289637641267003
25,Botswana,2.5,8.0,61.0,11.11,0,0,0,0,0,1,0.947725044959508
26,Brazil,2.0,8.0,55.0,9.43,0,1,0,0,0,0,-0.119536146168395
27,Brunei Darussalam,5.5,,,,0,0,0,1,0,0,0.44270502041393
28,Bulgaria,2.0,9.0,29.2,21.67,0,0,0,0,1,0,-0.0693627001462635
29,Burkina Faso,4.0,0.0,39.6,15.32,0,0,0,0,0,1,-0.326493561352074
30,Burundi,4.5,6.0,33.3,31.74,0,0,0,0,0,1,-1.09580153495147
31,Cambodia,5.5,2.0,44.2,15.76,0,0,0,1,0,0,-1.15123347866929
32,Cameroon,6.0,-4.0,44.6,13.89,0,0,0,0,0,1,-1.00036172716248
33,Canada,1.0,10.0,32.6,24.94,0,0,0,0,0,0,1.9425386763598
34,Cape Verde,1.0,,50.4,18.06,0,0,0,0,0,1,0.62250817207334
35,Cayman Islands,,,,,0,0,1,0,0,0,1.15844413885019
36,Central African Republic,5.0,-1.0,43.6,10.48,0,0,0,0,0,1,-0.994799104628708
37,Chad,6.5,-2.0,39.8,5.16,0,0,0,0,0,1,-1.34688028178994
38,Channel Islands,,,,,0,0,0,0,0,0,
39,Chile,1.0,10.0,52.0,12.66,0,1,0,0,0,0,1.37052415615982
40,China,6.5,-7.0,41.5,21.33,0,0,0,1,0,0,-0.568752346006251
41,Colombia,3.5,7.0,58.5,9.7,0,1,0,0,0,0,-0.18760520182586
42,Comoros,3.5,9.0,64.3,3.03,0,0,0,0,0,1,-0.709136429509675
43,"Congo, Dem. Rep.",6.0,5.0,44.4,7.73,0,0,0,0,0,1,-1.42807369539018
44,"Congo, Rep.",5.5,-4.0,47.3,9.18,0,0,0,0,0,1,-1.11311783391179
45,Costa Rica,1.0,10.0,48.9,36.84,0,1,0,0,0,0,0.483972844799745
46,Cote d'Ivoire,5.5,0.0,48.4,8.87,0,0,0,0,0,1,-1.19893336491311
47,Croatia,1.5,9.0,29.0,20.92,0,0,0,0,1,0,0.120586549241863
48,Cuba,6.5,-7.0,,43.16,0,1,0,0,0,0,0.128067682895955
49,Cyprus,1.0,10.0,,14.29,0,0,0,0,0,0,1.03531833442187
50,Czech Republic,1.0,8.0,25.8,16.01,0,0,0,0,1,0,0.422967221441479
51,Denmark,1.0,10.0,24.7,37.99,0,0,0,0,0,0,2.37832399823762
52,Djibouti,5.0,2.0,39.9,13.85,0,0,0,0,0,1,-0.441196554038114
53,Dominica,1.0,,,18.75,0,0,1,0,0,0,0.714093984669521
54,Dominican Republic,2.0,8.0,48.4,17.14,0,1,0,0,0,0,-0.618924194031764
55,Ecuador,3.0,5.0,54.4,25.0,0,1,0,0,0,0,-0.866716417178142
56,"Egypt, Arab Rep.",5.5,-3.0,32.1,3.68,1,0,0,0,0,0,-0.579147171136404
57,El Salvador,2.5,8.0,46.9,16.67,0,1,0,0,0,0,-0.288100008655349
58,Equatorial Guinea,7.0,-5.0,,6.0,0,0,0,0,0,1,-1.60663186696004
59,Eritrea,7.0,-7.0,,22.0,0,0,0,0,0,1,-0.252516231830349
60,Estonia,1.0,9.0,36.0,20.79,0,0,0,0,0,0,0.975601676905677
61,Ethiopia,5.0,1.0,29.8,21.37,0,0,0,0,0,1,-0.680256551531292
62,Faeroe Islands,,,,,0,0,0,0,0,0,
63,Fiji,5.0,-4.0,,,0,0,0,0,0,0,-0.50497872669322
64,Finland,1.0,10.0,26.9,41.5,0,0,0,0,0,0,2.33507215266569
65,France,1.0,9.0,32.7,19.57,0,0,0,0,0,0,1.41647265610532
66,French Polynesia,,,,,0,0,0,0,0,0,
67,Gabon,5.5,3.0,41.5,16.11,0,0,0,0,0,1,-0.856972967867437
68,"Gambia, The",5.0,-5.0,47.3,9.43,0,0,0,0,0,1,-0.691870837223396
69,Georgia,4.0,6.0,40.8,6.0,0,0,0,0,0,0,-0.200421189890411
70,Germany,1.0,10.0,28.3,31.13,0,0,0,0,0,0,1.7450199359286
71,Ghana,1.5,8.0,42.8,7.89,0,0,0,0,0,1,-0.0312243821673234
72,Gibraltar,,,,,0,0,0,0,0,0,
73,Greece,1.5,10.0,34.3,14.67,0,0,0,0,0,0,0.297696620286781
74,Greenland,,,,,0,0,0,0,0,0,1.1601999622768
75,Grenada,1.5,,,21.43,0,0,1,0,0,0,0.494549780051937
76,Guam,,,,,0,0,0,0,0,0,0.827849711640908
77,Guatemala,4.0,8.0,53.7,12.03,0,1,0,0,0,0,-0.681573865443813
78,Guinea,6.5,-1.0,43.3,,0,0,0,0,0,1,-1.16571611754395
79,Guinea-Bissau,4.0,6.0,35.5,10.0,0,0,0,0,0,1,-1.09653895966071
80,Guyana,2.5,6.0,43.2,30.0,0,0,1,0,0,0,-0.58131273572866
81,Haiti,4.5,5.0,59.5,5.17,0,1,0,0,0,0,-1.33612228135324
82,Honduras,4.0,7.0,55.3,23.44,0,1,0,0,0,0,-0.792215303828186
83,"Hong Kong SAR, China",,,43.4,,0,0,0,1,0,0,1.87139335401531
84,Hungary,1.0,10.0,30.0,11.14,0,0,0,0,1,0,0.575809064567707
85,Iceland,1.0,,,33.33,0,0,0,0,0,0,2.20999797895684
86,India,2.5,9.0,36.8,9.18,0,0,0,0,0,0,-0.336544078203674
87,Indonesia,2.5,8.0,37.6,11.64,0,0,0,1,0,0,-0.704519160316826
88,"Iran, Islamic Rep.",6.0,-7.0,38.3,2.8,1,0,0,0,0,0,-0.60091725944491
89,Iraq,5.5,0.0,38.3,25.45,1,0,0,0,0,0,-1.46269721683617
90,Ireland,1.0,10.0,34.3,15.49,0,0,0,0,0,0,1.6890746126857
91,Isle of Man,,,,,0,0,0,0,0,0,
92,Israel,1.5,10.0,39.2,14.17,1,0,0,0,0,0,0.885728613397935
93,Italy,1.5,10.0,36.0,20.17,0,0,0,0,0,0,0.238881472311902
94,Jamaica,2.5,9.0,45.5,13.58,0,0,1,0,0,0,-0.40601304633378
95,Japan,1.5,10.0,24.9,12.33,0,0,0,0,0,0,1.28955340570654
96,Jordan,5.5,-3.0,37.7,8.48,1,0,0,0,0,0,0.349111855394246
97,Kazakhstan,5.5,-6.0,30.9,12.34,0,0,0,0,0,0,-0.937653190163128
98,Kenya,4.0,7.0,47.7,9.82,0,0,0,0,0,1,-0.987641033597619
99,Kiribati,1.0,,,4.35,0,0,0,0,0,0,0.0875538478925123
100,"Korea, Dem. Rep.",7.0,-9.0,,20.09,0,0,0,1,0,0,-1.56317616367187
101,"Korea, Rep.",1.5,8.0,31.6,13.71,0,0,0,1,0,0,0.532592110829053
102,Kosovo,4.5,,,,0,0,0,0,1,0,-0.641869039675028
103,Kuwait,4.0,-7.0,,3.08,1,0,0,0,0,0,0.628466282153844
104,Kyrgyz Republic,5.5,1.0,33.5,25.56,0,0,0,0,0,0,-1.1748554476416
105,Lao PDR,6.5,-7.0,32.6,25.22,0,0,0,1,0,0,-1.2060545403137
106,Latvia,1.5,8.0,36.3,20.0,0,0,0,0,0,0,0.335019285751922
107,Lebanon,4.0,7.0,,4.69,1,0,0,0,0,0,-0.803180296878397
108,Lesotho,3.0,8.0,52.5,25.83,0,0,0,0,0,1,-0.0286510302440637
109,Liberia,3.5,6.0,52.6,13.83,0,0,0,0,0,1,-0.715497298360268
110,Libya,7.0,-7.0,,7.69,1,0,0,0,0,0,-0.90475572384913
111,Liechtenstein,1.0,,,24.0,0,0,0,0,0,0,1.30075897330812
112,Lithuania,1.0,10.0,35.8,17.73,0,0,0,0,0,0,0.197262021299463
113,Luxembourg,1.0,,,23.33,0,0,0,0,0,0,1.88834922497195
114,"Macao SAR, China",,,,,0,0,0,1,0,0,0.341979482727631
115,"Macedonia, FYR",3.0,9.0,42.8,31.67,0,0,0,0,1,0,-0.224905719219929
116,Madagascar,5.0,0.0,47.2,9.38,0,0,0,0,0,1,-0.14226924248874
117,Malawi,3.5,6.0,39.0,12.95,0,0,0,0,0,1,-0.628449770837884
118,Malaysia,4.0,6.0,37.9,14.59,0,0,0,1,0,0,0.248531499290579
119,Maldives,3.5,,37.4,12.0,0,0,0,0,0,0,-0.632013196920643
120,Mali,2.5,7.0,39.0,10.2,0,0,0,0,0,1,-0.469028822567703
121,Malta,1.0,,,8.7,0,0,0,0,0,0,0.970310606377248
122,Marshall Islands,1.0,,,3.03,0,0,0,0,0,0,-0.489121997836928
123,Mauritania,5.5,-2.0,39.0,19.87,0,0,0,0,0,1,-0.53783125919205
124,Mauritius,1.5,10.0,,17.1,0,0,0,0,0,1,0.525747143763921
125,Mayotte,,,,,0,0,0,0,0,1,
126,Mexico,2.5,8.0,51.6,22.13,0,1,0,0,0,0,-0.245729212396213
127,"Micronesia, Fed. Sts.",1.0,,,0.0,0,0,0,0,0,0,-0.310219534876191
128,Moldova,3.5,8.0,37.4,21.78,0,0,0,0,0,0,-0.650764156170288
129,Monaco,1.5,,,25.0,0,0,0,0,0,0,
130,Mongolia,2.0,10.0,36.6,4.17,0,0,0,1,0,0,-0.618422636002965
131,Montenegro,2.5,,36.9,11.11,0,0,0,0,1,0,-0.330958921537507
132,Morocco,4.5,-6.0,40.9,6.22,1,0,0,0,0,0,-0.257721825065937
133,Mozambique,3.5,5.0,47.1,34.8,0,0,0,0,0,1,-0.52440539781699
134,Myanmar,7.0,-6.0,,,0,0,0,1,0,0,-1.68632470526966
135,Namibia,2.0,6.0,74.3,26.92,0,0,0,0,0,1,0.28401211909007
136,Nepal,4.0,6.0,47.3,33.16,0,0,0,0,0,0,-0.762604422189102
137,Netherlands,1.0,10.0,30.9,39.11,0,0,0,0,0,0,2.06141369546635
138,Netherlands Antilles,,,,,0,0,1,0,0,0,1.21093198126772
139,New Caledonia,,,,,0,0,0,0,0,0,-1.03028152828748
140,New Zealand,1.0,10.0,36.2,33.61,0,0,0,0,0,0,2.27871883291067
141,Nicaragua,4.0,9.0,52.3,18.48,0,1,0,0,0,0,-0.747011012934567
142,Niger,4.5,-3.0,43.9,12.39,0,0,0,0,0,1,-0.786162566729321
143,Nigeria,4.5,4.0,42.9,7.28,0,0,0,0,0,1,-1.05979890651506
144,Northern Mariana Islands,,,,,0,0,0,0,0,0,
145,Norway,1.0,10.0,25.8,36.09,0,0,0,0,0,0,1.9467249373695
146,Oman,5.5,-8.0,,9.09,1,0,0,0,0,0,0.473768772106886
147,Pakistan,4.5,5.0,31.2,21.23,0,0,0,0,0,0,-0.884608798110971
148,Palau,1.0,,,6.9,0,0,0,0,0,0,-0.362581474034502
149,Panama,1.5,9.0,54.9,16.67,0,1,0,0,0,0,-0.311231456008425
150,Papua New Guinea,3.5,4.0,50.9,0.92,0,0,0,0,0,0,-1.32452131085468
151,Paraguay,3.0,8.0,53.2,13.6,0,1,0,0,0,0,-1.19040084434992
152,Peru,2.5,9.0,50.5,29.17,0,1,0,0,0,0,-0.310562360563652
153,Philippines,3.5,8.0,44.0,20.23,0,0,0,1,0,0,-0.663144559133422
154,Poland,1.0,10.0,34.9,18.04,0,0,0,0,1,0,0.35084743630862
155,Portugal,1.0,10.0,38.5,28.26,0,0,0,0,0,0,1.03632638663889
156,Puerto Rico,,,,,0,0,0,0,0,0,0.66998708318515
157,Qatar,5.5,-10.0,41.1,0.0,1,0,0,0,0,0,1.14895376106147
158,Romania,2.0,9.0,32.1,9.77,0,0,0,0,1,0,-0.101114462758247
159,Russian Federation,5.5,4.0,43.7,11.47,0,0,0,0,0,0,-0.917828992213867
160,Rwanda,5.5,-3.0,46.7,50.94,0,0,0,0,0,1,-0.164223000498563
161,Samoa,2.0,,,8.16,0,0,0,0,0,0,0.164414584985552
162,San Marino,1.0,,,15.0,0,0,0,0,0,0,
163,Sao Tome and Principe,2.0,,50.6,7.27,0,0,0,0,0,1,-0.551727246544846
164,Saudi Arabia,6.5,-10.0,,0.0,1,0,0,0,0,0,-0.025977100826796
165,Senegal,3.0,7.0,39.2,29.2,0,0,0,0,0,1,-0.366590316792602
166,Serbia,2.0,,28.2,21.6,0,0,0,0,1,0,-0.283202179202824
167,Seychelles,3.0,,,23.53,0,0,0,0,0,1,0.2124143777902
168,Sierra Leone,3.0,7.0,42.5,13.22,0,0,0,0,0,1,-1.06766058586761
169,Singapore,4.5,-2.0,42.5,24.47,0,0,0,1,0,0,2.19852816137966
170,Slovak Republic,1.0,10.0,25.8,19.33,0,0,0,0,1,0,0.435218744100823
171,Slovenia,1.0,10.0,31.2,10.0,0,0,0,0,1,0,1.01059983926299
172,Solomon Islands,3.5,8.0,,0.0,0,0,0,0,0,0,-0.325139433829041
173,Somalia,7.0,0.0,,8.2,0,0,0,0,0,1,-1.81305234285617
174,South Africa,2.0,9.0,57.8,33.92,0,0,0,0,0,1,0.332959829876555
175,Spain,1.0,10.0,34.7,33.61,0,0,0,0,0,0,1.10179026726658
176,Sri Lanka,4.0,6.0,41.1,5.78,0,0,0,0,0,0,-0.193983916717163
177,St. Kitts and Nevis,1.0,,,6.67,0,0,1,0,0,0,1.03923043695193
178,St. Lucia,1.0,,,17.24,0,0,1,0,0,0,1.19385743492346
179,St. Vincent and the Grenadines,1.5,,,18.18,0,0,1,0,0,0,1.03923043695193
180,Sudan,7.0,-4.0,,16.84,0,0,0,0,0,1,-1.32460522370645
181,Suriname,2.0,,52.8,25.49,0,0,1,0,0,0,-0.08950256667036
182,Swaziland,6.0,-9.0,50.7,22.11,0,0,0,0,0,1,-0.310528371310804
183,Sweden,1.0,10.0,25.0,46.99,0,0,0,0,0,0,2.14710767811866
184,Switzerland,1.0,10.0,33.7,27.24,0,0,0,0,0,0,2.05866070078905
185,Syrian Arab Republic,6.5,-7.0,,12.4,1,0,0,0,0,0,-0.925377360352249
186,Tajikistan,5.5,-3.0,33.6,19.59,0,0,0,0,0,0,-1.00613513848042
187,Tanzania,3.5,-1.0,34.6,30.41,0,0,0,0,0,1,-0.439213089003676
188,Thailand,4.5,4.0,42.5,12.7,0,0,0,1,0,0,-0.225074311389067
189,Timor-Leste,,7.0,31.9,29.23,0,0,0,1,0,0,-0.896604588598124
190,Togo,4.5,-4.0,34.4,11.11,0,0,0,0,0,1,-0.9964824635599
191,Tonga,4.0,,,3.13,0,0,0,0,0,0,-0.992693175908532
192,Trinidad and Tobago,2.0,10.0,40.3,33.33,0,0,1,0,0,0,-0.108312323940113
193,Tunisia,6.0,-4.0,40.8,19.93,1,0,0,0,0,0,0.00545060759449627
194,Turkey,3.0,7.0,41.2,9.11,1,0,0,0,0,0,0.0743557869505077
195,Turkmenistan,7.0,-9.0,40.8,,0,0,0,0,0,0,-1.43503865919307
196,Turks and Caicos Islands,,,,,0,0,1,0,0,0,
197,Tuvalu,1.0,,,0.0,0,0,0,0,0,0,-0.149392563343805
198,Uganda,4.5,-1.0,42.6,30.72,0,0,0,0,0,1,-0.819750555271628
199,Ukraine,2.5,7.0,27.6,8.22,0,0,0,0,0,0,-0.722976015785938
200,United Arab Emirates,5.5,-8.0,,22.5,1,0,0,0,0,0,1.02444608513849
201,United Kingdom,1.0,10.0,36.0,19.61,0,0,0,0,0,0,1.71413684400448
202,United States,1.0,10.0,40.8,17.01,0,0,0,0,0,0,1.33810603325913
203,Uruguay,1.0,10.0,47.1,12.31,0,1,0,0,0,0,1.11251414806231
204,Uzbekistan,7.0,-9.0,36.7,16.36,0,0,0,0,0,0,-1.07177891166735
205,Vanuatu,2.0,,,3.85,0,0,0,0,0,0,0.345598699472586
206,"Venezuela, RB",4.5,-3.0,43.4,18.56,0,1,0,0,0,0,-1.06167951677692
207,Vietnam,6.0,-7.0,37.8,25.76,0,0,0,1,0,0,-0.656128385635008
208,Virgin Islands (U.S.),,,,,0,0,0,0,0,0,0.827849711640908
209,West Bank and Gaza,,,,,0,0,0,0,0,0,-0.908450896035803
210,"Yemen, Rep.",5.5,-2.0,37.7,0.73,1,0,0,0,0,0,-0.808839779566311
211,Zambia,3.5,7.0,50.7,15.19,0,0,0,0,0,1,-0.601142208680117
212,Zimbabwe,6.0,1.0,50.1,18.15,0,0,0,0,0,1,-1.38212088731855
